tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
8.25E+17,@FoxNews @oreillyfactor @POTUS Donald J Trump needs to read Numbers 35:9-34 shows what sanctuary cities were actually for those who,0,0,Twitter Web Client,1/27/2017 1:05,3100361168,Gabriella_MaryH,Gabriella-Mary,3/20/2015 23:54,Gabriella-Mary Harrold Owner of Covered Splendour,30,51,"Pennsylvania, USA",Pacific Time (US & Canada)
8.25E+17,Donald Trump is going to publish a weekly list of crimes committed by immigrants https://t.co/FJxXCFajSa,0,0,Twitter for iPhone,1/27/2017 1:05,2149818039,mmiller56999,Michael Miller,10/23/2013 17:52,,43,113,,
8.25E+17,"RT @mlcalderone: Editors confront the ""emergency"" of Trump's presidency https://t.co/7jnxnCnakz",5,0,Twitter Web Client,1/27/2017 1:05,112224716,Joe_Stephens,Joe Stephens,2/7/2010 18:02,Ferris Prof @Princeton + Reporter @WashPost,2303,253,"Washington, DC + Princeton, NJ",Eastern Time (US & Canada)
8.25E+17,RT @Newsweek: There are cracks in Trump's wall strategy—and not just about who's going to pay for it https://t.co/thRoAFYJnG https://t.co/b…,15,0,Twitter for iPhone,1/27/2017 1:05,15330507,lic_santiago,Santiago Quiroz,7/6/2008 4:13,Formador de facilitadores en justicia alternativa - Profesor de cátedra ITESM,1658,480,Mexico,Central Time (US & Canada)
8.25E+17,"Why is it that building the wall is Donald Trump's main priority? 😕I mean, we have other issues to address, what about unemployment?",0,0,Twitter for iPhone,1/27/2017 1:05,413023862,aishaa_O,Aisha,11/15/2011 11:54,🔷🔶,998,510,"Chicago, IL",Hawaii
8.25E+17,RT @TheDemocrats: It's time for Donald Trump to stop thinking about his personal fortune and instead focus on helping American workers. htt…,500,0,Mobile Web (M5),1/27/2017 1:05,7.87E+17,PaulRamb,Paulina,10/15/2016 15:45,,62,244,"Brooklyn, NY",
8.25E+17,RT @CNNPolitics: CNN's @jaketapper fact-checks President Trump's claims on voter fraud https://t.co/qz7mXhRNNd https://t.co/C55UBz5WJU,431,0,Twitter for iPad,1/27/2017 1:05,420838943,CJ4mnstrs,Cherie Johnson,11/25/2011 5:03,,65,74,,
8.25E+17,"RT @RollingStone: Donald Trump sees freedom of information, speech and the press as a threat https://t.co/Mv4NKpIy1r https://t.co/uJPqpMrHUu",279,0,Twitter for iPhone,1/27/2017 1:05,117792965,cervino_academy,Cervino Institute,2/26/2010 16:45,The Cervino Institute of Economic Studies is dedicated to studying economic problems and irrational markets resulting from the unintended consequences of...,439,1811,,Pacific Time (US & Canada)
8.25E+17,RT @EricSpracklen: Donald Trump talks about the executive orders he signed to build the Keystone  XL and Dakota Access pipelines today at t…,4,0,Twitter for iPhone,1/27/2017 1:05,1961714528,babetcohen,Barbara Cohen,10/15/2013 2:17,Realtor/listing specialist,235,372,las vegas,
8.25E+17,RT @cl_atlanta: CL Photographer Joeff Davis attended the inauguration in D.C. and documented the intense weekend https://t.co/8yo9vE9pzs,2,0,Twitter for iPhone,1/27/2017 1:05,7.64E+17,KOFI_Photo,kevin fuentes,8/11/2016 14:22,👼🏽L.A. Born ✈️Atlanta Based Photographer. contact: kofiphotography@yahoo.com,40,234,"Georgia, USA",
8.25E+17,RT @BoomerWarrior: Donald Trump is no reason for Ottawa to back away from climate action: Editorial https://t.co/jCZSZ2tSKt via @torontostar,2,0,Twitter Web Client,1/27/2017 1:05,14070918,rjpierce,Ray Pierce,3/3/2008 2:55,"Scientist. Father. Cook. Of nature, not party or creed.  Climate proto-activist.",132,107,"Ottawa, Canada ",Central Time (US & Canada)
8.25E+17,RT @AmericasVoice: Protesters in multiple US cities say #NoBanNoWall to Donald Trump. https://t.co/xBJYyKa7uH https://t.co/r9cRURxa60,170,0,Mobile Web (M5),1/27/2017 1:05,601479248,marynybound9603,Ivon Ampuero Palza,6/7/2012 2:24,,5,29,MN,
8.25E+17,"RT @villagevoice: Wayne Barrett’s Village Voice cover story from December 1991 during Trump's days of working with Ed Koch 

https://t.co/z…",3,0,Twitter Web Client,1/27/2017 1:05,4165275237,amaleighla,Amanda Lasorsa,11/11/2015 17:31,"Currently based in Byron Bay, AUS",231,485,"New York, USA",Eastern Time (US & Canada)
8.25E+17,RT @risetoflyy: President Donald Trump at His Desk on his First Flight on Air Force One https://t.co/ji7CdpfigO,8,0,Twitter for Android,1/27/2017 1:05,7.49E+17,SurrattPenny,Penny Surratt@#CCOT,6/30/2016 17:00,,1168,1850,"Florida, USA",
8.25E+17,"RT @SarahLerner: As Donald Trump closes our borders to refugees, remember that Hillary Clinton sent this email: https://t.co/BcUoKJr02X",23118,0,Twitter Web Client,1/27/2017 1:05,9549022,Iron_Spike,Iron Spike,10/19/2007 19:29,"Cartoonist. Vulgarian. Motormouth. Iron Witch Prime. Gifted & Talented. Runs @ironcircuscomix, Chicago's largest comics publisher. Doesn't owe ya an argument.",21161,553,,Central Time (US & Canada)
8.25E+17,RT @HuffPostPol: Petition demanding Donald Trump release his tax returns breaks White House record https://t.co/LaJ8RlZjNu https://t.co/75O…,106,0,Twitter for iPhone,1/27/2017 1:05,1395459638,DanielPBednarik,"Daniel Bednárik, PhD",5/1/2013 20:03,"Dan Bednarik is Exec. Consultant for Neximmune Inc. and Microbion Corp.  He was previously VP, Molecular Engineering Unit for Intrexon Corporation.",58,133,"Highland, Maryland",Atlantic Time (Canada)
8.25E+17,RT @CNNPolitics: Mexican President Enrique Peña Nieto cancels his meeting with President Donald Trump https://t.co/TmMQnbxfRw,158,0,Twitter for Android,1/27/2017 1:05,8.23E+17,Paco53041412,Paco,1/21/2017 15:45,Noticias Estados Unidos y el mundo Periodistas y comentaristas Política Opinión Entretenimiento Noticias de Celebridades,14,36,,
8.25E+17,Donald Trump Didn't Do Something Every Other Recent President Has Done for His Wife https://t.co/yZ0yT6q4Nj,0,0,Twitter Web Client,1/27/2017 1:05,383086355,92AcuraGSR,Kenny Campbell,10/1/2011 7:25,,432,1260,Middletown Ohio,
8.25E+17,RT @sotrueradio: 'Over my dead body': tribe aims to block Trump's border wall on Arizona land https://t.co/ZPR1JHj5vw,3,0,Twitter for iPhone,1/27/2017 1:05,1206962191,davidklangstaff,David,2/22/2013 5:48,"homelessly in love, this has all been terrible, beautiful.",177,1477,"Detroit, MI",
8.25E+17,RT @NBCNews: Pediatricians call President Donald Trump's immigration orders harmful https://t.co/UYdMHsIAk0 https://t.co/wXWmCW3Ss2,137,0,Twitter for iPhone,1/27/2017 1:05,167055908,AmandaKrupa,Amanda Krupa,7/15/2010 17:04,"Editor of @healthychildren. Health communications, web content, and social media strategist. Writer. Mom of 2. Opinions are my own.",871,785,Greater Chicagoland area,Central Time (US & Canada)
8.25E+17,RT @EricSpracklen: Donald Trump talks about the executive orders he signed to build the Keystone  XL and Dakota Access pipelines today at t…,4,0,Twitter for iPhone,1/27/2017 1:05,1287867686,TJ_Coventry,Tim Coventry,3/22/2013 5:55,Just do it,310,1394,,
8.25E+17,"The worst or the best has yet to come !!!
US State Department's entire senior management team quits https://t.co/s3P0FeeLkn",0,0,Twitter for iPhone,1/27/2017 1:05,210314434,Ronaldsaga,Saga,10/31/2010 3:51,Finance Student at San Francisco State University,12,7,"San Francisco, CA",Pacific Time (US & Canada)
8.25E+17,GQ Totally Trolled Donald Trump With This Presidential Makeover https://t.co/KmrTByf8NE https://t.co/NWB8E71Erk,0,0,Botize,1/27/2017 1:05,1006705364,LillilFlor,Lilliana Flores,12/12/2012 16:09,"La humanidad es como es. No se trata de cambiarla, sino de conocerla.",676,874,Estados Unidos,Central Time (US & Canada)
8.25E+17,"RT @JamesMartinSJ: Stirring up hatred against one group is evil: ""Trump to publish weekly list of crimes committed by immigrants"": https://…",109,0,Twitter for iPad,1/27/2017 1:05,79030985,leahnavarro,Leah Navarro,10/1/2009 23:13,Filipino. Singer. Actor. Advocate.,21209,1789,Philippines,Hong Kong
8.25E+17,"RT @RealDonaldTrFan: 20% tax on Mexican imports to pay for Wall! Americans won’t even realize tax is passed on to them by higher prices.
ht…",34,0,Twitter for iPhone,1/27/2017 1:05,1532489732,PercyChekov,Percy Chekov,6/20/2013 1:31,i write books and love star trek,375,950,Dallas,Central Time (US & Canada)
8.25E+17,RT @Newsweek: There are cracks in Trump's wall strategy—and not just about who's going to pay for it https://t.co/thRoAFYJnG https://t.co/b…,15,0,Twitter Web Client,1/27/2017 1:05,34702961,dacheet8hman,chester shaw,4/23/2009 19:26,"Loving husband/father to my beautiful wife & son! Striving to be more like Christ daily, some days are better than others! An aspiring writer & tech lover.",594,1586,"Parker, Colorado",Mountain Time (US & Canada)
8.25E+17,Also: Canceled Trump-Peña Nieto meeting marks biggest U.S.-Mexico rift in decades: https://t.co/8tMMWrTpZ0 https://t.co/CCe341VlqB,0,0,Twitter Web Client,1/27/2017 1:05,17893073,baoyuan,Elizabeth Yuan,12/5/2008 7:55,"Interactive news writer @WSJ; contributing editor @inthefray; formerly @CNN (TV and digital) in ATL, HK; Dayton, Ohio, native; once distributed a movie",846,100,New York,Eastern Time (US & Canada)
8.25E+17,"RT @JamesMartinSJ: Stirring up hatred against one group is evil: ""Trump to publish weekly list of crimes committed by immigrants"": https://…",109,0,Twitter for iPhone,1/27/2017 1:05,1534827678,r_w_swartz,Bob Swartz,6/20/2013 19:58,Lutheran is an adjective.,179,1261,,Pacific Time (US & Canada)
8.25E+17,"RT @YoRoyRobin: Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NO…",1233,0,Twitter for iPhone,1/27/2017 1:05,2384139973,mateothoo,Mateo👅,3/11/2014 19:49,sc: mateo_yo 🤘🏼😛,600,791,,Pacific Time (US & Canada)
8.25E+17,RT @WSJ: Canceled Trump-Peña Nieto meeting marks biggest U.S.-Mexico rift in decades https://t.co/LzgAZ6MHnT,43,0,Twitter for iPhone,1/27/2017 1:05,1451868714,meganhswanson,Megan 4Freedom,5/23/2013 16:21,#TheResistance Dog is my Co-Pilot. Science is our friend. Love the Earth it's our only home. Save the bees.,401,523,"Ohio, USA",
8.25E+17,"RT @FoxNews: President Donald #Trump said the number of people on welfare is ""out of control"" during his speech at the GOP retreat in Phill…",1134,0,Twitter for iPhone,1/27/2017 1:05,28534205,paphotog,SGT USMC,4/3/2009 9:48,"#NRA, Conservative, #USMC, Pro-Israel, Patriot, Christian, Son of a WWII Vet, #2A, #1A, #TGDN MOLON LABE #Deplorable #Trump #Oathkeeper https://t.co/MNMPqeUc8y",12358,12346,"Kentucky, USA",Eastern Time (US & Canada)
8.25E+17,RT @WSJ: Canceled Trump-Peña Nieto meeting marks biggest U.S.-Mexico rift in decades https://t.co/LzgAZ6MHnT,43,0,Twitter for Android,1/27/2017 1:05,4901811831,sandyc1772,sandyc,2/12/2016 16:58,,386,189,,
8.25E+17,Rick Perry is on the board of the company building the Dakota Access Pipeline https://t.co/XN9cBJKEAl,0,0,Facebook,1/27/2017 1:05,2951783542,GetOffTheMeter,David L. Fisher,12/30/2014 19:52,"PhD Theoretical Physics, MS Electrical and Electronics Enigineering
Information Security, Embedded Encryption Technologies, Data Recovery, Data Forensics",171,928,"Northumberland, PA",Eastern Time (US & Canada)
8.25E+17,"RT @TomSteyer: Trump thinks the world won't react to his bullying. That's not just dumb, it's dangerous. https://t.co/dmcUzVOlf7",27,0,Twitter for iPhone,1/27/2017 1:05,2724215808,NonaHarman,Nona,8/11/2014 16:25,"Animal Advocate, Earth, Water, Mountain,nature lover, and Tree hugger! Save the Dolphins in Japan!!No list.",2279,3288,United States,
8.25E+17,"Video Analysis: Donald Trump, the Federal Reserve and Interest Rates - WSJ https://t.co/1xcHCnUFoi",0,1,OS X,1/27/2017 1:05,143506878,michaelsderby,Michael S. Derby,5/13/2010 17:15,"Wall Street Journal Fed reporter. I own too many basses. From the land of pleasant living. Tweets/retweets interesting, newsworthy. michael.derby@wsj.com",6287,1050,"Brooklyn, NY",Atlantic Time (Canada)
8.25E+17,Donald Trump is going to snap. We're just waiting to find out if it results in a heart attack/stroke/medical incapacity or nuclear strike.,0,0,Twitter Web Client,1/27/2017 1:05,329018682,GOPocalypseNow,GOPocalypse Now,7/4/2011 12:20,"Dear poor and middle class Americans voting for Republicans: I hate to break it to you, but they're just not into you.",904,301,United States,Quito
8.25E+17,"RT @drunkamerica: ""Donald Trump isn't going to build the wall."" https://t.co/SO0ewMAw7L",71,0,Twitter for iPhone,1/27/2017 1:05,585619030,bryantk_21,Kobe,5/20/2012 12:07,"I am not a legend, I am a God -Gianluigi Buffon • Where's Weezy?",364,451,"Southport, NC & Greenville, NC",
8.25E+17,"RT @colincampbell: “Ham is your life now, idiot.” via @ClickHole https://t.co/6TwAqpvqD0 https://t.co/vcVFbhtb8j",4,0,Twitter Web Client,1/27/2017 1:05,479841905,MrWillieJones,Willie Jones,1/31/2012 20:46,"When a man sticks his hand out to shake hands with ya, shake it. Then kick him real hard when he's not looking.",298,1876,,Eastern Time (US & Canada)
8.25E+17,RT @davidcnswanson: There's already a campaign to impeach Donald Trump | Multimedia News for College Students https://t.co/83GqfpCnNS @usat…,6,0,Mobile Web (M5),1/27/2017 1:05,479236846,lamentefugitiva,Roy,1/31/2012 4:59,Fugitive mind/nature lover/road gypsy/hippie/musician or... just some guy,738,845,Here,Eastern Time (US & Canada)
8.25E+17,RT @WSJ: Canceled Trump-Peña Nieto meeting marks biggest U.S.-Mexico rift in decades https://t.co/LzgAZ6MHnT,43,0,Twitter for iPhone,1/27/2017 1:05,153430146,Rameade,Ricardo R. Meade,6/8/2010 14:41,"Mexican living in Shanghai, China.             #TortillaPower",163,405,"Shanghai, China",Central Time (US & Canada)
8.25E+17,RT @CNNPolitics: CNN's @jaketapper fact-checks President Trump's claims on voter fraud https://t.co/qz7mXhRNNd https://t.co/C55UBz5WJU,431,0,Twitter for iPhone,1/27/2017 1:05,1936389373,Frank_GoBell,⚖️ Frank GoBell ⚖️,10/5/2013 4:10,,42,92,,Central Time (US & Canada)
8.25E+17,RT @AyeItsJoel: Donald Trump is gonna go through w/ building the wall &amp; is gonna make tax payers pay for it. Mexico ain't paying for shit l…,3,0,Twitter for iPhone,1/27/2017 1:05,196328720,AyeItsJoel,Joel,9/28/2010 21:42,No Era Penal ⚽️,1488,286,"Raleigh, NC",Eastern Time (US & Canada)
8.25E+17,"RT @WillMcAvoyACN: Will Donald Trump's #TrumpTax tariff apply to Donald Trump's 'Trump Collection' clothing line items, some of which are m…",290,0,Twitter for iPad,1/27/2017 1:05,552355237,BlueNRedState,Blue In A Red State,4/13/2012 2:24,For all of us lonely Democrats surrounded by ignorance in the red states!,18847,8882,Red state hell!,Central Time (US & Canada)
8.25E+17,"RT @RollingStone: Donald Trump sees freedom of information, speech and the press as a threat https://t.co/Mv4NKpIy1r https://t.co/uJPqpMrHUu",279,0,Twitter for iPhone,1/27/2017 1:05,8.23E+17,Gallifrey3017,AugustChristopher,1/22/2017 3:03,"Never cruel or cowardly. Never give up, never give in. Independent journalist, more or less & news archivist ! Allons-y! KnowledgeWeb-theBrain web coming soon!",7,139,Medusa Cascade,
8.25E+17,RT @HuffPostPol: Petition demanding Donald Trump release his tax returns breaks White House record https://t.co/LaJ8RlZjNu https://t.co/75O…,106,0,Twitter for Android,1/27/2017 1:05,803449489,BDamatin,LIBERAL LOCOMOTIVE,9/4/2012 23:44,The Liberal Locomotive                                                It is morning in America,1107,2226,,
8.25E+17,"Yes, he really did. OMG https://t.co/BI3Jgk7YBW",0,0,Facebook,1/27/2017 1:05,33363925,JPKTampa,Jim Kelly,4/20/2009 1:13,,18,44,Tampa,Eastern Time (US & Canada)
8.25E+17,There is something seriously wrong with Donald Trump. I've never seen such an obsession unless you're wearing a straitjacket #msnbc,0,0,Twitter for Android,1/27/2017 1:05,2149708050,RonElliott16,Rhino51,10/22/2013 20:57,,175,311,"Washington, DC",Eastern Time (US & Canada)
8.25E+17,RT @FoxNews: White House Chief of Staff @Reince Priebus defended President Donald Trump over a move to block federal funds meant for sanctu…,704,0,Twitter for iPhone,1/27/2017 1:05,242625061,barry_debor,Barry Debor,1/25/2011 6:09,"Husband, Dad, Sunday school teacher, amateur photographer, road trip junkie, proud member of Steeler Nation.",354,985,Texas,Central Time (US & Canada)
8.25E+17,How Donald Trump made the cable news chyron operator a Washington power player https://t.co/PaVThATjZe via @HuffPostMedia,0,0,Twitter Web Client,1/27/2017 1:05,2497578709,WrenSoar,Mercy,5/16/2014 2:24,"Human being, life long learner, democrat, grandmother of an amazing autistic girl, female veteran, therapy dog handler",133,598,"Salt Lake City, Utah USA",Pacific Time (US & Canada)
8.25E+17,"RT @politico: ""Widespread, systemic voting fraud of the magnitude the president alleges is not possible."" https://t.co/ptcnAx2bcj https://t…",163,0,Twitter for Android,1/27/2017 1:05,200577010,ShepFell,🎀,10/9/2010 17:19,"🖕 If you can't see the emoji, it's a middle finger & follow that advice.",833,692,,America/Denver
8.25E+17,Carl Bernstein: Republican leaders privately questioning Donald Trump’s mental state https://t.co/sleEXgaLV8 via @PalmerReport,0,0,Twitter Web Client,1/27/2017 1:05,21688801,trendship,Trendship,2/23/2009 20:19,Burying my face. Really?!! Sending in an orange clown after Michelle and Barack Obama?  #NotMyPresident #BlackLivesMatter #Resist #GrabYourWallet,742,2576,California,Pacific Time (US & Canada)
8.25E+17,The same day Donald Trump announced his hardliner-crafted immigration orders. https://t.co/05VTtJwa7w,0,0,Twitter Web Client,1/27/2017 1:05,14526877,TUSK81,Gabe Ortíz,4/25/2008 14:22,"Immigrant rights, @AmericasVoice. Bylines: @PRI, @Univision, @WashingtonPost. American, Latino, catlady. Cancer survivor. Views here are my own.",24833,1091,"San Francisco, CA",Pacific Time (US & Canada)
8.25E+17,RT @SteveHusker: Donald Trump cannot care less what Pelosi and Schumer think of him. He is fighting for the forgotten man/woman. Also known…,5,0,Twitter for iPhone,1/27/2017 1:05,1471615951,toby_dorena,Toby Blessings,5/31/2013 7:46,61yo GM Catholic disabledRN God Family Country ProLife Constitution Conservative ProIsrael Patriot Garland Tx followed by @seanhannity @SenTedCruz,9458,9812,"Garland, TX",
8.25E+17,Donald Trump talks about the executive orders he signed to build the Keystone  XL and Dakota Access pipelines today… https://t.co/4wWE2XovQ0,4,9,Twitter Ads,1/27/2017 1:05,7.06E+17,EricSpracklen,Eric Spracklen,3/4/2016 23:49,Millennial-Common Sense Trumpservative-Fearless leader/Founder-@USAforTrump2016 🇺🇸 @TrumpsNewsDaily @WeWantTrump2020 #MAGA,89429,368,USA,Eastern Time (US & Canada)
8.25E+17,"RT @JohnZajaros: Untruths &amp; Falsehoods, Calling a Lie a Lie! @nytimes How do these people look themselves in the mirror? #JudasGoats https:…",3,0,Twitter for iPhone,1/27/2017 1:05,7.57E+17,mardadenos1,Mardadenos,7/23/2016 13:07,,13,12,,
8.25E+17,RT @WSJ: Canceled Trump-Peña Nieto meeting marks biggest U.S.-Mexico rift in decades https://t.co/LzgAZ6MHnT,43,0,Twitter for iPhone,1/27/2017 1:05,3978075373,NLJ808,Lee J.,10/22/2015 8:00,,72,140,United States,Hawaii
8.25E+17,Donald Trump; Inauguration Day: Donald Trump; Inauguration Day #Cartoon by Mauricio Parra… https://t.co/8Rf15G0S3M,0,0,Google,1/27/2017 1:05,1615811095,cartoonistar,Arifur Rahman,7/23/2013 17:59,"Cartoonist, Animator, Illustrator, Online Activist, Founder and publisher of @tOOnsMaG https://t.co/nn5HJz5ABZ @cartoonist_club  https://t.co/ZD6j61ZigM",155,65,Norway,
8.25E+17,"RT @YoRoyRobin: Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NOT My President. 
Donald Trump is NO…",1233,0,Twitter for Android,1/27/2017 1:05,2402244936,williow0,Dami,3/21/2014 22:45,"I Love singing , music is my escape, and the color blue  I love watching youtubers",987,1668,minnesota,
8.25E+17,"How to Trump-proof your life (in a minute) – video
https://t.co/31hya9oJEx Would like 2  know about this earlier. Batten down the hatches",0,0,Twitter for Android,1/27/2017 1:05,3256399190,karenthehatlady,Karen Webster,6/26/2015 7:19,A Simple Mind brings me inspiration and peace.,27,76,"Michigan, USA",
8.25E+17,RT @nprpolitics: TRANSCRIPT: Michelle Obama's Speech On Donald Trump's Alleged Treatment Of Women https://t.co/ZAJkdMZgTh,207,0,Twitter Web Client,1/27/2017 1:05,2465952667,FWCelle,FREIE WÄHLER CELLE,4/27/2014 10:40,Die FREIEN WÄHLER Celle treten für die Bürgerinnen und Bürger ein. *aktiv*bürgernah*sachbezogen*persönlich,1945,1645,Celle,
8.25E+17,National Park Service launches unofficial Twitter account that Donald Trump can’t touch https://t.co/p4AKEE6ZvM via @PalmerReport,0,0,Twitter Web Client,1/27/2017 1:05,108455745,agreenbeauty,AGB | A Green Beauty,1/26/2010 0:42,A Green Beauty magazine promotes an ethical & sustainable culture and lifestyle.,2165,831,"Hudson, NY",Central Time (US & Canada)
8.25E+17,@JamesOKeefeIII @USAneedsTRUMP  The other presidents wasn't Donald Trump,0,0,Twitter for iPhone,1/27/2017 1:05,8.22E+17,deploarablepaul,Paul,1/18/2017 17:13,"It's what we do now, we win!!!!",83,232,"New York, USA",
8.25E+17,"RT @AJ: ...the real question is, should Donald Trump be enticing hate upon an individual? Using social media to openly call someone a trait…",104,0,Twitter for Android,1/27/2017 1:05,1021734138,Ruppelkp,KP Ruppel,12/19/2012 9:51,"Logical, opinionated, cynical, dark humor, sarcastic wit. Follow can = keeping the enemy closer.",163,2995,"New York, USA",
8.25E+17,"RT @villagevoice: Wayne Barrett’s Village Voice cover story from December 1991 during Trump's days of working with Ed Koch 

https://t.co/z…",3,0,Twitter for iPhone,1/27/2017 1:05,25377589,TVMCCA,Terry McCarty,3/19/2009 20:27,Los Angeles poet since 1997.,1527,2071,"Canoga Park, CA",Pacific Time (US & Canada)
8.25E+17,Donald Trump Intentionally Lies to Us via @thenation https://t.co/ImhZONtYjT,0,0,Twitter Web Client,1/27/2017 1:05,392758490,swtyndall,Steven Tyndall,10/17/2011 14:43,"Enlightenment, The Moment, Actual Reality versus Cultural Models of It, The Insecurity Complex, Greed and Power-Hunger are only Insecurity Responses, Us/Not Two",12058,12011,"San Diego, CA",Alaska
8.25E+17,It's not alarmist to note that this would be a welcome tactic in Hitler's campaign against stateless people. https://t.co/BndbfqSdkk,0,0,Twitter for Android,1/27/2017 1:05,21280449,DeanDettloff,Dean Dettloff,2/19/2009 7:04,PhD student @InsChr | Philosophy/Critical Theory/Media | Michigander in Toronto | Catholic | Barista @thesidekickcafe | Journalist @americamag,893,1131,Toronto,Quito
8.25E+17,#CaroleKing Releases New Version of 'One Small Voice' in Support of Donald Trump... https://t.co/JhIqOC8hiv https://t.co/ydlgOImMRp,0,0,Lead Stories Feed Publisher,1/27/2017 1:05,2838018347,Celebrilizer,Trending Celeb News,10/20/2014 12:29,The most trending celeb news as collected by Trendolizer,1062,345,Hollywood,
8.25E+17,Theresa May: America and Britain will 'lead together again' after Brexit and election of Donald Trump https://t.co/7DZaT8yB9z,0,0,Twitter for iPhone,1/27/2017 1:05,19637012,jomaxx,Jomaxx,1/28/2009 4:58,"HEALTH CARE Jedi Master, FOODIE, PATRIOT (believe in our democratic constitutional Republic)",5283,5811,USA,Central Time (US & Canada)
8.25E+17,"RT @keithboykin: If your faith allows you to believe that Donald Trump is a God-fearing Christian and Barack Obama wasn't, your faith is wh…",35022,0,Twitter Web Client,1/27/2017 1:05,426922757,flutter_rob,Robyn,12/2/2011 21:42,play sport watch sport work in sport love sport. love australia esp queensland. Fluent in sarcasm,299,498,,Brisbane
